Size(Bytes),Frequency
1465,605
1498,10449
100,12727
1452,446
1444,392
101,12560
104,12572
1478,743
141,135
145,133
105,12437
1499,10731
1496,10119
103,12383
1489,1020
102,12560
1480,773
1479,723
1439,392
1471,612
135,147
1419,268
1432,344
1497,10137
1437,363
1446,406
1473,658
1491,1108
1463,562
1494,1279
130,134
107,266
1486,908
1467,611
234,34
1475,682
1485,904
260,14
1495,1279
1403,195
1468,630
1441,400
108,253
1434,306
1462,538
1477,748
1406,212
191,46
1488,984
1476,725
1472,648
126,157
1420,285
1451,436
1481,822
1423,297
1492,1159
1428,338
1487,959
164,100
1413,266
157,104
192,53
144,128
156,94
1470,682
1490,960
1424,263
1449,421
1474,696
1427,284
125,191
128,157
120,205
1459,474
1493,1200
154,126
1426,299
173,82
119,196
1483,892
121,162
1404,190
1411,211
1450,472
1448,421
132,148
218,52
116,230
1407,221
1464,528
1443,376
158,115
110,272
1436,360
244,27
241,32
1400,176
1433,295
138,130
1421,273
1456,477
111,259
1442,378
133,174
1460,528
1455,491
129,166
1429,293
1457,483
176,78
204,61
177,77
148,128
1409,214
1482,822
1458,501
162,101
1410,216
118,195
185,69
1416,260
151,106
1466,558
150,124
1438,384
1430,319
131,138
282,10
200,66
1435,396
160,104
178,77
127,173
1461,538
113,236
1415,248
254,20
1454,453
171,92
1405,224
134,152
220,53
139,145
1412,244
109,273
1484,896
1447,444
216,52
175,91
1469,606
1418,267
293,5
137,139
147,140
1401,199
140,130
214,49
232,34
245,31
222,52
168,95
1440,405
180,74
114,204
184,73
1417,259
190,62
166,97
230,25
243,35
183,94
270,17
247,32
255,28
199,61
231,33
170,92
250,23
159,99
152,119
122,200
167,98
251,15
165,97
195,79
193,53
202,73
146,131
217,51
203,58
123,191
213,47
224,39
155,114
1445,415
197,70
1425,251
143,132
124,181
1431,332
1453,451
210,52
142,147
112,219
226,37
1408,218
229,41
1402,192
106,281
223,51
115,229
163,81
196,66
174,87
221,48
1414,238
275,16
211,59
153,114
169,89
172,98
266,19
117,193
1422,300
281,8
136,161
258,21
262,19
179,73
215,61
208,37
205,61
161,93
236,22
206,62
219,43
186,57
249,28
149,134
187,90
271,12
212,45
188,63
253,20
237,32
194,53
252,32
182,66
269,15
263,25
238,32
246,34
228,41
181,63
209,47
272,15
240,19
297,1
256,14
248,26
201,49
225,46
242,31
189,59
274,12
198,59
257,20
235,32
264,16
265,20
267,14
239,26
207,52
227,40
259,17
278,9
279,10
276,11
273,11
233,30
277,7
261,21
268,11
288,6
294,4
295,3
289,6
287,4
292,4
290,4
285,4
284,10
280,6
291,2
296,1
286,4
