run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,binedges,binvalues
Traffic_1-0-20210121-15:03:26-6432,runattr,,,configname,Traffic_1,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,runattr,,,datetime,20210121-15:03:26,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,runattr,,,experiment,Traffic_1,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,runattr,,,inifile,XHost_SpineLeaf.ini,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,runattr,,,iterationvars,,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,runattr,,,iterationvarsf,,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,runattr,,,measurement,,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,runattr,,,network,XHost_SpineLeaf_Network,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,runattr,,,processid,6432,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,runattr,,,repetition,0,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,runattr,,,replication,#0,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,runattr,,,resultdir,results,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,runattr,,,runnumber,0,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,runattr,,,seedset,0,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,param,,,**.borderLeaf.**.packetCapacity,1,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,param,,,**.leaf[*].**.packetCapacity,1,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,param,,,**.spine[*].**.packetCapacity,1,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,param,,,**.H[*].numApps,1,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,param,,,**.border.numApps,1,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,param,,,**.H[*].app[0].typename,"""TcpSessionApp""",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,param,,,**.H[*].app[0].connectAddress,"""border""",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,param,,,**.H[*].app[0].tOpen,1.0s,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,param,,,**.H[*].app[0].tSend,1.1s,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,param,,,**.H[*].app[0].sendBytes,100000B,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,param,,,**.H[*].app[0].tClose,0s,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,param,,,**.border.app[0].typename,"""TcpEchoApp""",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,param,,,**.LanVisualizer.interfaceTableVisualizer.displayInterfaceTables,true,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,param,,,**.LanVisualizer.interfaceTableVisualizer.displayWiredInterfacesAtConnections,false,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,param,,,**.LanVisualizer.interfaceTableVisualizer.nodeFilter,"""not (*topOfRack or *H*)""",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,param,,,**.LanVisualizer.interfaceTableVisualizer.placementPriority,2,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,param,,,**.LanVisualizer.interfaceTableVisualizer.format,"""%N %\\%n/%l%\\%m""",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,param,,,**.LanVisualizer.packetDropVisualizer.displayPacketDrops,true,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,param,,,**.LanVisualizer.packetDropVisualizer.labelFormat,"""%n/reason: %r""",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,param,,,**.LanVisualizer.packetDropVisualizer.fadeOutTime,10s,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,param,,,**.LeafVisualizer.interfaceTableVisualizer.displayInterfaceTables,true,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,param,,,**.LeafVisualizer.interfaceTableVisualizer.displayWiredInterfacesAtConnections,false,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,param,,,**.LeafVisualizer.interfaceTableVisualizer.placementPriority,2,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,param,,,**.LeafVisualizer.interfaceTableVisualizer.format,"""%N %\\%n/%l%\\%m""",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,param,,,**.configurator.config,"xmldoc(""XHost_SpineLeaf_Routing.xml"")",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].lo[0].lo,rcvdPkFromHl:count,,,0,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].lo[0].lo,rcvdPkFromHl:count,interpolationmode,none,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].lo[0].lo,rcvdPkFromHl:count,source,packetReceivedFromUpper,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].lo[0].lo,rcvdPkFromHl:count,title,"packets received from higher layer, count",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].lo[0].lo,rcvdPkFromHl:sum(packetBytes),,,0,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].lo[0].lo,rcvdPkFromHl:sum(packetBytes),interpolationmode,none,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].lo[0].lo,rcvdPkFromHl:sum(packetBytes),source,packetReceivedFromUpper,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].lo[0].lo,rcvdPkFromHl:sum(packetBytes),title,"packets received from higher layer, sum(packetBytes)",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].lo[0].lo,passedUpPk:count,,,0,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].lo[0].lo,passedUpPk:count,interpolationmode,none,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].lo[0].lo,passedUpPk:count,source,packetSentToUpper,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].lo[0].lo,passedUpPk:count,title,"packets passed to higher layer, count",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].lo[0].lo,passedUpPk:sum(packetBytes),,,0,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].lo[0].lo,passedUpPk:sum(packetBytes),interpolationmode,none,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].lo[0].lo,passedUpPk:sum(packetBytes),source,packetSentToUpper,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].lo[0].lo,passedUpPk:sum(packetBytes),title,"packets passed to higher layer, sum(packetBytes)",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,packetPopped:count,,,1203,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,packetPopped:count,interpolationmode,none,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,packetPopped:count,title,"packet popped, count",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,packetPopped:sum(packetBytes),,,400366,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,packetPopped:sum(packetBytes),interpolationmode,none,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,packetPopped:sum(packetBytes),title,"packet popped, sum(packetBytes)",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,queueLength:max,,,2,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,queueLength:max,interpolationmode,sample-hold,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,queueLength:max,source,count(packetPushed) - count(packetPopped) - count(packetRemoved) - count(packetDropped),,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,queueLength:max,title,"queue length, max",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,queueLength:timeavg,,,4.3251087016134e-006,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,queueLength:timeavg,interpolationmode,sample-hold,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,queueLength:timeavg,source,count(packetPushed) - count(packetPopped) - count(packetRemoved) - count(packetDropped),,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,queueLength:timeavg,title,"queue length, timeavg",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,packetPushed:count,,,1211,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,packetPushed:count,interpolationmode,none,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,packetPushed:count,title,"packet pushed, count",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,packetPushed:sum(packetBytes),,,400878,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,packetPushed:sum(packetBytes),interpolationmode,none,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,packetPushed:sum(packetBytes),title,"packet pushed, sum(packetBytes)",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,packetDropQueueOverflow:count,,,8,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,packetDropQueueOverflow:count,interpolationmode,none,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,packetDropQueueOverflow:count,source,packetDropReasonIsQueueOverflow(packetDropped),,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,packetDropQueueOverflow:count,title,"packet drops: queue overflow, count",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,packetDropQueueOverflow:sum(packetBytes),,,512,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,packetDropQueueOverflow:sum(packetBytes),interpolationmode,none,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,packetDropQueueOverflow:sum(packetBytes),source,packetDropReasonIsQueueOverflow(packetDropped),,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,packetDropQueueOverflow:sum(packetBytes),title,"packet drops: queue overflow, sum(packetBytes)",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,packetRemoved:count,,,0,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,packetRemoved:count,interpolationmode,none,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,packetRemoved:count,title,"packets removed, count",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,packetRemoved:sum(packetBytes),,,0,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,packetRemoved:sum(packetBytes),interpolationmode,none,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac.queue,packetRemoved:sum(packetBytes),title,"packets removed, sum(packetBytes)",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].eth[0].mac,simulated time,,,307.58192481467,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].eth[0].mac,full-duplex,,,1,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].eth[0].mac,frames/sec sent,,,3.9111531040872,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].eth[0].mac,frames/sec rcvd,,,4.0444509239273,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].eth[0].mac,bits/sec sent,,,10413.251695235,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].eth[0].mac,bits/sec rcvd,,,10543.142292753,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].eth[0].mac,rx channel idle (%),,,100,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].eth[0].mac,rx channel utilization (%),,,0,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].eth[0].mac,txPk:count,,,1203,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac,txPk:count,interpolationmode,none,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac,txPk:count,source,packetSentToLower,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac,txPk:count,title,"packets transmitted, count",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].eth[0].mac,txPk:sum(packetBytes),,,400366,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac,txPk:sum(packetBytes),interpolationmode,none,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac,txPk:sum(packetBytes),source,packetSentToLower,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac,txPk:sum(packetBytes),title,"packets transmitted, sum(packetBytes)",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].eth[0].mac,packetReceivedFromUpper:count,,,1211,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac,packetReceivedFromUpper:count,interpolationmode,none,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac,packetReceivedFromUpper:count,source,packetReceivedFromUpper,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac,packetReceivedFromUpper:count,title,"packet bytes from higher layer, count",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].eth[0].mac,packetReceivedFromUpper:sum(packetBytes),,,397166,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac,packetReceivedFromUpper:sum(packetBytes),interpolationmode,none,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac,packetReceivedFromUpper:sum(packetBytes),source,packetReceivedFromUpper,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac,packetReceivedFromUpper:sum(packetBytes),title,"packet bytes from higher layer, sum(packetBytes)",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].eth[0].mac,passedUpPk:count,,,1244,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac,passedUpPk:count,interpolationmode,none,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac,passedUpPk:count,source,packetSentToUpper,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac,passedUpPk:count,title,"packets passed to higher layer, count",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].eth[0].mac,passedUpPk:sum(packetBytes),,,405360,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac,passedUpPk:sum(packetBytes),interpolationmode,none,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac,passedUpPk:sum(packetBytes),source,packetSentToUpper,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac,passedUpPk:sum(packetBytes),title,"packets passed to higher layer, sum(packetBytes)",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].eth[0].mac,packetDropIncorrectlyReceived:count,,,0,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac,packetDropIncorrectlyReceived:count,interpolationmode,none,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac,packetDropIncorrectlyReceived:count,source,packetDropReasonIsIncorrectlyReceived(packetDropped),,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac,packetDropIncorrectlyReceived:count,title,"packet drop: incorrectly received, count",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].eth[0].mac,packetDropIncorrectlyReceived:sum(packetBytes),,,0,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac,packetDropIncorrectlyReceived:sum(packetBytes),interpolationmode,none,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac,packetDropIncorrectlyReceived:sum(packetBytes),source,packetDropReasonIsIncorrectlyReceived(packetDropped),,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac,packetDropIncorrectlyReceived:sum(packetBytes),title,"packet drop: incorrectly received, sum(packetBytes)",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].eth[0].mac,packetDropInterfaceDown:count,,,0,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac,packetDropInterfaceDown:count,interpolationmode,none,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac,packetDropInterfaceDown:count,source,packetDropReasonIsInterfaceDown(packetDropped),,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac,packetDropInterfaceDown:count,title,"packet drop: interface down, count",,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,scalar,XHost_SpineLeaf_Network.spine[0].eth[0].mac,packetDropInterfaceDown:sum(packetBytes),,,0,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac,packetDropInterfaceDown:sum(packetBytes),interpolationmode,none,,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac,packetDropInterfaceDown:sum(packetBytes),source,packetDropReasonIsInterfaceDown(packetDropped),,,,,,,,,
Traffic_1-0-20210121-15:03:26-6432,attr,XHost_SpineLeaf_Network.spine[0].eth[0].mac,packetDropInterfaceDown:sum(packetBytes),title,"packet drop: interface down, sum(packetBytes)",,,,,,,,,
