run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,binedges,binvalues
Traffic_1-0-20210129-10:57:33-4640,runattr,,,configname,Traffic_1,,,,,,,,,
Traffic_1-0-20210129-10:57:33-4640,runattr,,,datetime,20210129-10:57:33,,,,,,,,,
Traffic_1-0-20210129-10:57:33-4640,runattr,,,experiment,Traffic_1,,,,,,,,,
Traffic_1-0-20210129-10:57:33-4640,runattr,,,inifile,_XHostSpineLeaf/XHost_SpineLeaf.ini,,,,,,,,,
Traffic_1-0-20210129-10:57:33-4640,runattr,,,iterationvars,,,,,,,,,,
Traffic_1-0-20210129-10:57:33-4640,runattr,,,iterationvarsf,,,,,,,,,,
Traffic_1-0-20210129-10:57:33-4640,runattr,,,measurement,,,,,,,,,,
Traffic_1-0-20210129-10:57:33-4640,runattr,,,network,XHost_SpineLeaf_Network,,,,,,,,,
Traffic_1-0-20210129-10:57:33-4640,runattr,,,processid,4640,,,,,,,,,
Traffic_1-0-20210129-10:57:33-4640,runattr,,,repetition,0,,,,,,,,,
Traffic_1-0-20210129-10:57:33-4640,runattr,,,replication,#0,,,,,,,,,
Traffic_1-0-20210129-10:57:33-4640,runattr,,,resultdir,results,,,,,,,,,
Traffic_1-0-20210129-10:57:33-4640,runattr,,,runnumber,0,,,,,,,,,
Traffic_1-0-20210129-10:57:33-4640,runattr,,,seedset,0,,,,,,,,,
Traffic_1-0-20210129-10:57:33-4640,param,,,**.borderLeaf.**.packetCapacity,1,,,,,,,,,
Traffic_1-0-20210129-10:57:33-4640,param,,,**.leaf[*].**.packetCapacity,1,,,,,,,,,
Traffic_1-0-20210129-10:57:33-4640,param,,,**.spine[*].**.packetCapacity,1,,,,,,,,,
Traffic_1-0-20210129-10:57:33-4640,param,,,**.H[*].numApps,1,,,,,,,,,
Traffic_1-0-20210129-10:57:33-4640,param,,,**.border.numApps,1,,,,,,,,,
Traffic_1-0-20210129-10:57:33-4640,param,,,**.H[*].app[0].typename,"""TcpSessionApp""",,,,,,,,,
Traffic_1-0-20210129-10:57:33-4640,param,,,**.H[*].app[0].connectAddress,"""border""",,,,,,,,,
Traffic_1-0-20210129-10:57:33-4640,param,,,**.H[*].app[0].tOpen,1.0s,,,,,,,,,
